% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct
32	1	1	1	0	0	26	0	1	1

36	1	1	1	0	0	41	0	1	1
105	1	1	1	0	28	2292	0	1	1
65	1	3	1	0	28	749	0	1	1
36	1	2	2	0	0	41	0	1	1
32	1	2	2	0	0	26	0	1	1
65	1	1	2	0	28	749	0	1	1
32	1	3	3	0	0	26	0	1	1
65	1	2	3	0	28	749	0	1	1
36	2	3	1	0	0	41	0	1	1
36	2	4	2	0	0	41	0	1	1
32	2	5	1	0	0	26	0	1	1
32	2	4	2	0	0	26	0	1	1
36	3	6	1	0	0	41	0	1	1
32	2	6	3	0	0	26	0	1	1
36	3	5	2	0	0	41	0	1	1
36	4	7	1	0	0	41	0	1	1
36	4	8	2	0	0	41	0	1	1
96	1	1	1	0	28	2292	0	1	1
118	2	1	1	0	0	85	0	1	1
106	1	1	1	0	28	2292	0	1	1
32	3	8	1	0	0	26	0	1	1
36	5	10	1	0	0	41	0	1	1
32	3	7	2	0	0	26	0	1	1
36	5	9	2	0	0	41	0	1	1
32	3	9	3	0	0	26	0	1	1
32	4	12	1	0	0	26	0	1	1
32	4	11	2	0	0	26	0	1	1
119	2	1	1	0	0	85	0	1	1
32	4	10	3	0	0	26	0	1	1
97	1	1	1	0	28	2292	0	1	1
66	1	3	1	0	28	749	0	1	1
32	5	13	1	0	0	26	0	1	1
107	1	1	1	0	28	2292	0	1	1
66	1	1	2	0	28	749	0	1	1
66	1	2	3	0	28	749	0	1	1
32	5	14	2	0	0	26	0	1	1
120	2	1	1	0	0	85	0	1	1
32	5	15	3	0	0	26	0	1	1
32	6	16	1	0	0	26	0	1	1
32	6	17	2	0	0	26	0	1	1
98	1	1	1	0	28	2292	0	1	1
32	6	18	3	0	0	26	0	1	1
108	1	1	1	0	28	2292	0	1	1
121	2	1	1	0	0	85	0	1	1
99	1	1	1	0	28	2292	0	1	1
67	1	3	1	0	28	749	0	1	1
67	1	1	2	0	28	749	0	1	1
109	1	1	1	0	28	2292	0	1	1
122	2	1	1	0	0	85	0	1	1
67	1	2	3	0	28	749	0	1	1
100	1	1	1	0	28	2292	0	1	1
123	2	1	1	0	0	85	0	1	1
110	1	1	1	0	28	2292	0	1	1
124	2	1	1	0	28	2292	0	1	1
101	1	1	1	0	28	2292	0	1	1
68	1	3	1	0	28	749	0	1	1
111	1	1	1	0	28	2292	0	1	1
68	1	1	2	0	28	749	0	1	1
68	1	2	3	0	28	749	0	1	1
112	1	1	1	0	28	2292	0	1	1
102	1	1	1	0	28	2292	0	1	1
127	2	1	1	0	28	2292	0	1	1
113	1	1	1	0	28	2292	0	1	1
103	1	1	1	0	28	2292	0	1	1
69	1	3	1	0	28	749	0	1	1
69	1	1	2	0	28	749	0	1	1
69	1	2	3	0	28	749	0	1	1
114	1	1	1	0	28	2292	0	1	1
104	1	1	1	0	28	2292	0	1	1
37	1	1	1	0	0	41	0	1	1
130	2	1	1	0	28	2292	0	1	1
37	1	2	2	0	0	41	0	1	1
115	1	1	1	0	28	2292	0	1	1
37	2	3	1	0	0	41	0	1	1
37	2	4	2	0	0	41	0	1	1
37	3	6	1	0	0	41	0	1	1
37	3	5	2	0	0	41	0	1	1
105	1	1	1	0	28	2292	0	1	1
70	1	3	1	0	28	749	0	1	1
37	4	7	1	0	0	41	0	1	1
70	1	1	2	0	28	749	0	1	1
37	4	8	2	0	0	41	0	1	1
116	1	1	1	0	28	2292	0	1	1
70	1	2	3	0	28	749	0	1	1
37	5	10	1	0	0	41	0	1	1
133	2	1	1	0	28	2292	0	1	1
37	5	9	2	0	0	41	0	1	1
106	1	1	1	0	28	2292	0	1	1
117	1	1	1	0	28	2292	0	1	1
71	1	3	1	0	28	749	0	1	1
71	1	1	2	0	28	749	0	1	1
71	1	2	3	0	28	749	0	1	1
107	1	1	1	0	28	2292	0	1	1
118	1	1	1	0	28	2292	0	1	1
108	1	1	1	0	28	2292	0	1	1
119	1	1	1	0	28	2292	0	1	1
72	1	3	1	0	28	749	0	1	1
72	1	1	2	0	28	749	0	1	1
72	1	2	3	0	28	749	0	1	1
109	1	1	1	0	28	2292	0	1	1
33	1	1	1	0	0	26	0	1	1
33	1	2	2	0	0	26	0	1	1
33	1	3	3	0	0	26	0	1	1
120	1	1	1	0	28	2292	0	1	1
33	2	5	1	0	0	26	0	1	1
33	2	4	2	0	0	26	0	1	1
33	2	6	3	0	0	26	0	1	1
33	3	8	1	0	0	26	0	1	1
33	3	7	2	0	0	26	0	1	1
33	3	9	3	0	0	26	0	1	1
33	4	12	1	0	0	26	0	1	1
33	4	11	2	0	0	26	0	1	1
110	1	1	1	0	28	2292	0	1	1
33	4	10	3	0	0	26	0	1	1
147	2	1	1	0	28	2292	0	1	1
33	5	13	1	0	0	26	0	1	1
33	5	14	2	0	0	26	0	1	1
121	1	1	1	0	28	2292	0	1	1
33	5	15	3	0	0	26	0	1	1
73	1	3	1	0	28	749	0	1	1
73	1	1	2	0	28	749	0	1	1
73	1	2	3	0	28	749	0	1	1
33	6	16	1	0	0	26	0	1	1
111	1	1	1	0	28	2292	0	1	1
33	6	17	2	0	0	26	0	1	1
