% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.121	1	1	13	2	1	28	2196	0	0
0.15	2	2	16	1	1	26	1836	0	0
0.082	1	1	9	3	1	28	2196	0	0
0.049	1	18	5	10	2	12	597	0	0
0.121	2	2	13	2	1	28	2196	0	0
0.074	1	1	8	5	1	28	2196	0	0
0.151	1	1	16	2	1	28	2196	0	0
0.049	2	14	5	10	2	28	2196	0	0
0.068	1	1	7	9	1	28	2196	0	0
0.151	2	2	16	2	1	26	1836	0	0
0.083	1	1	9	4	1	28	2196	0	0
0.049	3	16	5	10	2	28	2196	0	0
0.075	1	1	8	6	1	28	2196	0	0
0.152	1	1	16	3	1	28	2196	0	0
0.049	4	5	5	10	2	16	903	0	0
0.152	2	2	16	3	1	26	1836	0	0
0.122	1	1	13	3	1	28	2196	0	0
0.049	6	7	5	10	1	8	421	0	0
0.055	1	1	6	6	2	28	2196	0	0
0.122	2	2	13	3	1	28	2196	0	0
0.084	1	1	9	5	1	28	2196	0	0
0.153	1	1	16	4	1	28	2196	0	0
0.07	1	1	8	1	1	28	2196	0	0
0.153	2	2	16	4	1	26	1836	0	0
0.049	7	11	5	10	1	28	2196	0	0
0.076	1	1	8	7	1	28	2196	0	0
0.154	1	1	16	5	1	28	2196	0	0
0.049	8	20	5	10	1	28	2196	0	0
0.154	2	2	16	5	1	26	1836	0	0
0.034	1	1	4	5	1	28	2196	0	0
0.031	1	2	4	2	2	28	2196	0	0
0.085	1	1	9	6	1	28	2196	0	0
0.049	9	6	5	10	1	2	133	0	0
0.123	1	1	13	4	1	28	2196	0	0
0.155	1	1	16	6	1	28	2196	0	0
0.077	1	1	8	8	1	28	2196	0	0
0.034	2	3	4	5	1	28	2196	0	0
0.049	10	1	5	10	1	28	2196	0	0
0.123	2	2	13	4	1	28	2196	0	0
0.155	2	2	16	6	1	26	1836	0	0
0.031	2	4	4	2	2	28	2196	0	0
0.049	11	2	5	10	1	16	903	0	0
0.056	1	2	6	7	3	28	2196	0	0
0.034	3	6	4	5	1	28	2196	0	0
0.049	12	3	5	10	1	28	2196	0	0
0.086	1	1	9	7	1	28	2196	0	0
0.156	1	1	16	7	1	28	2196	0	0
0.078	1	1	8	9	1	28	2196	0	0
0.031	3	7	4	2	2	28	2196	0	0
0.049	13	4	5	10	1	28	2196	0	0
0.156	2	2	16	7	1	26	1836	0	0
0.034	4	7	4	5	1	28	2196	0	0
0.076	1	1	8	7	1	28	2196	0	0
0.157	1	1	16	8	1	28	2196	0	0
0.034	5	10	4	5	1	28	2196	0	0
0.087	1	1	9	8	1	28	2196	0	0
0.031	4	11	4	2	2	28	2196	0	0
0.157	2	2	16	8	1	26	1836	0	0
0.079	1	1	8	10	1	28	2196	0	0
0.031	5	14	4	2	2	28	2196	0	0
0.078	1	1	8	9	1	28	2196	0	0
0.158	1	1	16	9	1	28	2196	0	0
0.057	1	3	6	8	1	28	2196	0	0
0.031	6	17	4	2	2	28	2196	0	0
0.088	1	1	9	9	1	28	2196	0	0
0.158	2	2	16	9	1	26	1836	0	0
0.159	1	1	16	10	1	28	2196	0	0
0.08	1	1	9	1	1	28	2196	0	0
0.159	2	2	16	10	1	26	1836	0	0
0.089	1	1	9	10	1	28	2196	0	0
0.05	1	22	6	1	1	10	469	0	0
0.16	1	1	17	1	1	28	2196	0	0
0.16	2	2	17	1	1	26	1836	0	0
0.05	2	15	6	1	1	12	597	0	0
0.161	1	1	17	2	1	28	2196	0	0
0.081	1	1	9	2	1	28	2196	0	0
0.058	1	1	6	9	2	28	2196	0	0
0.09	1	1	10	1	1	28	2196	0	0
0.161	2	2	17	2	1	26	1836	0	0
0.05	3	17	6	1	1	18	967	0	0
0.05	4	19	6	1	1	14	775	0	0
0.086	1	1	9	7	1	28	2196	0	0
0.162	1	1	17	3	1	28	2196	0	0
0.05	6	13	6	1	3	28	2196	0	0
0.082	1	1	9	3	1	28	2196	0	0
0.162	2	2	17	3	1	26	1836	0	0
0.091	1	1	10	2	1	28	2196	0	0
0.163	1	1	17	4	1	28	2196	0	0
0.05	7	11	6	1	1	28	2196	0	0
0.088	1	1	9	9	1	28	2196	0	0
0.163	2	2	17	4	1	26	1836	0	0
0.083	1	1	9	4	1	28	2196	0	0
0.092	1	1	10	3	1	28	2196	0	0
0.05	8	20	6	1	1	28	2196	0	0
0.164	1	1	17	5	1	28	2196	0	0
0.059	1	2	6	10	3	28	2196	0	0
0.05	9	12	6	1	3	28	2196	0	0
0.164	2	2	17	5	1	26	1836	0	0
0.165	1	1	17	6	1	28	2196	0	0
0.084	1	1	9	5	1	28	2196	0	0
0.05	10	1	6	1	1	28	2196	0	0
0.093	1	1	10	4	1	28	2196	0	0
0.165	2	2	17	6	1	26	1836	0	0
0.05	11	2	6	1	1	16	903	0	0
0.035	1	2	4	6	2	28	2196	0	0
0.05	12	3	6	1	1	28	2196	0	0
0.035	2	4	4	6	2	28	2196	0	0
0.166	1	1	17	7	1	28	2196	0	0
0.05	13	4	6	1	1	28	2196	0	0
0.085	1	1	9	6	1	28	2196	0	0
0.166	2	2	17	7	1	26	1836	0	0
0.06	1	3	7	1	1	28	2196	0	0
0.035	3	5	4	6	2	28	2196	0	0
0.094	1	1	10	5	1	28	2196	0	0
0.167	1	1	17	8	1	28	2196	0	0
0.096	1	1	10	7	1	28	2196	0	0
0.035	4	8	4	6	2	28	2196	0	0
0.167	2	2	17	8	1	26	1836	0	0
0.086	1	1	9	7	1	28	2196	0	0
0.035	5	9	4	6	2	28	2196	0	0
0.168	1	1	17	9	1	28	2196	0	0
0.095	1	1	10	6	1	28	2196	0	0
0.168	2	2	17	9	1	26	1836	0	0
