% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
121	1	1	1	0	28	2292	0	1
34	1	1	1	0	0	26	0	1
121	2	2	1	0	28	2292	0	1
75	1	1	1	0	28	2292	0	1
34	1	2	2	0	0	26	0	1
37	1	1	1	0	0	41	0	1
34	1	3	3	0	0	26	0	1
122	1	1	1	0	28	2292	0	1
37	1	2	2	0	0	41	0	1
34	2	4	2	0	0	26	0	1
84	1	1	1	0	28	2292	0	1
57	1	1	2	0	28	749	0	1
122	2	2	1	0	28	2292	0	1
37	2	3	1	0	0	41	0	1
34	2	5	1	0	0	26	0	1
57	1	2	3	0	28	749	0	1
34	2	6	3	0	0	26	0	1
37	2	4	2	0	0	41	0	1
123	1	1	1	0	28	2292	0	1
76	1	1	1	0	28	2292	0	1
37	3	5	2	0	0	41	0	1
57	1	3	1	0	28	749	0	1
34	3	7	2	0	0	26	0	1
123	2	2	1	0	28	2292	0	1
37	3	6	1	0	0	41	0	1
34	3	8	1	0	0	26	0	1
37	4	7	1	0	0	41	0	1
85	1	1	1	0	28	2292	0	1
34	3	9	3	0	0	26	0	1
67	1	1	1	0	28	2292	0	1
37	4	8	2	0	0	41	0	1
77	1	1	1	0	28	2292	0	1
34	4	10	3	0	0	26	0	1
37	5	9	2	0	0	41	0	1
69	1	1	1	0	28	2292	0	1
34	4	11	2	0	0	26	0	1
37	5	10	1	0	0	41	0	1
34	4	12	1	0	0	26	0	1
34	5	13	1	0	0	26	0	1
58	1	1	2	0	28	749	0	1
86	1	1	1	0	28	2292	0	1
78	1	1	1	0	28	2292	0	1
58	1	2	3	0	28	749	0	1
34	5	14	2	0	0	26	0	1
34	5	15	3	0	0	26	0	1
58	1	3	1	0	28	749	0	1
34	6	16	1	0	0	26	0	1
87	1	1	1	0	28	2292	0	1
34	6	17	2	0	0	26	0	1
79	1	1	1	0	28	2292	0	1
34	6	18	3	0	0	26	0	1
88	1	1	1	0	28	2292	0	1
59	1	1	2	0	28	749	0	1
80	1	1	1	0	28	2292	0	1
59	1	2	3	0	28	749	0	1
75	1	1	1	0	28	2292	0	1
59	1	3	1	0	28	749	0	1
76	1	1	1	0	28	2292	0	1
89	1	1	1	0	28	2292	0	1
81	1	1	1	0	28	2292	0	1
77	1	1	1	0	28	2292	0	1
79	1	1	1	0	28	2292	0	1
60	1	1	2	0	28	749	0	1
90	1	1	1	0	28	2292	0	1
82	1	1	1	0	28	2292	0	1
60	1	2	3	0	28	749	0	1
60	1	3	1	0	28	749	0	1
91	1	1	1	0	28	2292	0	1
38	1	1	1	0	0	41	0	1
83	1	1	1	0	28	2292	0	1
38	1	2	2	0	0	41	0	1
38	2	3	1	0	0	41	0	1
92	1	1	1	0	28	2292	0	1
61	1	1	2	0	28	749	0	1
38	2	4	2	0	0	41	0	1
61	1	2	3	0	28	749	0	1
38	3	5	2	0	0	41	0	1
35	1	1	1	0	0	26	0	1
84	1	1	1	0	28	2292	0	1
38	3	6	1	0	0	41	0	1
61	1	3	1	0	28	749	0	1
93	1	1	1	0	28	2292	0	1
38	4	7	1	0	0	41	0	1
35	1	2	2	0	0	26	0	1
38	4	8	2	0	0	41	0	1
35	1	3	3	0	0	26	0	1
38	5	9	2	0	0	41	0	1
87	1	1	1	0	28	2292	0	1
35	2	4	2	0	0	26	0	1
38	5	10	1	0	0	41	0	1
85	1	1	1	0	28	2292	0	1
35	2	5	1	0	0	26	0	1
89	1	1	1	0	28	2292	0	1
94	1	1	1	0	28	2292	0	1
35	2	6	3	0	0	26	0	1
62	1	1	2	0	28	749	0	1
35	3	7	2	0	0	26	0	1
62	1	2	3	0	28	749	0	1
35	3	8	1	0	0	26	0	1
62	1	3	1	0	28	749	0	1
86	1	1	1	0	28	2292	0	1
35	3	9	3	0	0	26	0	1
95	1	1	1	0	28	2292	0	1
35	4	10	3	0	0	26	0	1
35	4	11	2	0	0	26	0	1
